report_id	vehicle_id	status	date_submit	model_year	date_built	model_version	model_package	city	state	country	postal_code	user_alias	date_acquired	unit_distance	odo_acquired_raw	odometer_raw	odometer_miles	range_mode_ideal_range_raw	range_mode_ideal_range_miles	standard_mode_ideal_range_raw	standard_mode_ideal_range_miles	cac	batt_swapped	batt_swap_count	sheet_swap_count	date_batt_swap	odo_batt_swap	pem_swapped	pem_swap_count	date_pem_swap	odo_pem_swap	motor_swapped	motor_swap_count	date_motor_swap	odo_motor_swap	voltage_charge	current_charge	range_charge_frequency	range_charge_frequency_text	standard_charge_frequency	standard_charge_frequency_text	use_type	use_type_text	drive_frequency	drive_frequency_text	lbw_frequency	lbw_frequency_text	batt_hot_frequency	batt_hot_frequency_text	pem_hot_frequency	pem_hot_frequency_text	motor_hot_frequency	motor_hot_frequency_text	tow_count	trip_distance	highway_pct	highway_speed	ownership	ownership_text	purchase	purchase_text	date_disposed	comments
31	22		01/16/2013 19:22	2011	01/25/2011	2.5	Roadster	Lexington	KY	United States	40502		03/15/2011	mi		24592	24592			184	184		NO					NO				NO				110	15	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	10	A few times per year	12	Less than once per year	6	A few times per month	0	n/a	0	50	10	65	1	Own	1	New		
32	23		01/16/2013 20:20	2008	04/14/2009	1.5	Roadster	Aptos	CA	United States	95003		05/05/2009	mi		75000	75000			169	169		NO					NO				NO				240	30	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	12	Less than once per year	8	Never	11	About once per year	0	n/a	0	90	80	65	1	Own	1	New		After 75000 miles, my roadster has gone from 194mi Standard to around 169.  I drive it daily, and other than the frequency of having to replace the rear tires, I am still very happy with it.    As I am approaching 100,000mi (maybe in late 2013 or early 2014) I am curious as to what my battery replacement options will be.
33	24		01/16/2013 20:33	2011	02/09/2011	2.5	Roadster	Arnold	CA	United States	95223		03/10/2011	mi		7054	7054	160	160	150	150		NO					NO				NO				240	70	10	A few times per year	10	A few times per year	3	Occasional	10	A few times per year	12	Less than once per year	8	Never	8	Never	0	n/a	0	80	80	70	2	Lease	1	New		Generally do not drive in the winter due to sand on the roads. Car currently plugged in storage mode at 40% charge. Waiting to see when it will change.
34	25		01/17/2013 00:45	2008	11/21/2008	1.5	Roadster	Long Beach	CA	United States	90815		11/28/2012	mi		27200	27200			176	176		NO					NO				NO				240	32	8	Never	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	50	45	78	1	Own	2	Used		
38	26		01/17/2013 01:09	2008	03/13/2009	1.5	Roadster	Carmichael	CA	United States	95608		04/21/2009	mi		20635	20635	223	223	172	172		NO					NO				NO				220	72	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	11	About once per year	11	About once per year	10	A few times per year	0	n/a	0	10	10	75	1	Own	1	New		
39	26		01/17/2013 01:10	2008	03/13/2009	1.5	Roadster	Carmichael	CA	United States	95608		04/21/2009	mi		20635	20635	223	223	172	172		NO					NO				NO				220	72	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	11	About once per year	11	About once per year	10	A few times per year	0	n/a	0	10	10	75	1	Own	1	New		
40	27		01/17/2013 10:46	2008	01/15/2009	1.5	Roadster	Marietta	GA	United States	30064	Sparrow	12/22/2010	mi		24000	24000			172	172		NO					NO				NO				240	32	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	8	Never	12	Less than once per year	8	Never	0	n/a	0	55	40	60	1	Own	2	Used		
41	28		01/17/2013 14:13	2010	12/03/2009	2.0	Roadster Sport	Berkeley	CA	United States	94708	augkuo	05/01/2011	mi		34160	34160	232	232	180	180		NO					NO				NO				200	30	6	A few times per month	2	Daily	1	Daily driver, year-round	3	Most days of the week	6	A few times per month	8	Never	8	Never	0	n/a	0	130	90	65	1	Own	2	Used		
42	29		01/17/2013 15:55	2010	10/01/2010	2.5	Roadster	Arlington	VA	United States	22201		10/31/2010	mi		19000	19000	232	232	184	184		NO					NO				NO				220	50	10	A few times per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	11	About once per year	11	About once per year	11	About once per year	0	n/a	0	50	50	65	2	Lease	1	New		When new, Standard Mode Charge would charge up to 190 ideal miles, so 3-4% range loss over 19k miles.
43	30		01/17/2013 19:07	2008	11/24/2008	1.5	Roadster	Los Altos	CA	United States	94024	sauhlir	12/12/2008	mi		31525	31525			181	181	153.07	NO					NO				NO				240	70	12	Less than once per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	30	25	65	1	Own	1	New		After the early firmware upgrade that changed the ideal range calculation, the typical ideal range after a standard charge was 192 miles.  As it is now about 182 miles... I guess I've lost just over 5% of the battery capacity.
44	31		01/17/2013 20:10	2008	03/03/2009	1.5	Roadster	Spokane	WA	United States	99217	btown	07/24/2011	mi		21000	21000	212	212	182	182		NO					NO				NO				240	40	10	A few times per year	2	Daily	2	Daily driver, except in winter	2	Daily	11	About once per year	8	Never	8	Never	0	n/a	0	20	30	65	1	Own	2	Used		
45	31		01/17/2013 20:15	2008	03/03/2009	1.5	Roadster	Spokane	WA	United States	99217	btown	07/24/2011	mi		21000	21000	235	235	182	182		NO					NO				NO				240	40	10	A few times per year	2	Daily	2	Daily driver, except in winter	2	Daily	11	About once per year	8	Never	8	Never	0	n/a	0	20	30	65	1	Own	2	Used		
46	32		01/17/2013 22:49	2011	02/20/2011	2.5	Roadster	Manhattan Beach	CA	United States	90266		02/27/2011	mi		7623	7623			184	184		NO					NO				NO				220	40	11	About once per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	0	n/a	0	2	70	71	1	Own	1	New		
47	33		01/17/2013 23:19	2011	12/13/2010	2.5	Roadster	Santa Barbara	CA	United States	93109	Timothy	05/01/2011	mi		13683	13683	220	220	175	175		NO					NO				NO				240	40	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	2	Daily	10	A few times per year	10	A few times per year	8	Never	0	n/a	0	10	30	65	1	Own	1	New		My understanding is that the CAC is the best indicator of battery state--according to Tesla.  My car new was supposed to have 160 CAC.12/27/2011 it was 153.  12/7/2012 it was 147.  An 8% decrease in 2 years since manufacture.
48	34		01/17/2013 23:57	2010	01/15/2010	2.0	Roadster	San Rafael	CA	United States	94901		06/01/2010	mi		36000	36000	220	220	183	183		YES	1	11	02/01/2011	26000	NO				NO				220	50	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	0	n/a	0	15	60	65	1	Own	3	Dealer Demo		
49	35		01/18/2013 01:01	2010	11/22/2010	2.5	Roadster	Irvine	CA	United States	92603	Neodoc	02/04/2011	mi		28161	28161	221	221	187	187		NO					YES	1	11/12/2012	26083	NO				240	40	9	Monthly	3	Most days of the week	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	52	95	75	1	Own	1	New		
50	36		01/18/2013 04:04	2011	01/01/2011	2.5	Roadster	Bielefeld		Germany		UDOW	02/16/2011	mi		67812	67812	218	218	171	171		NO					NO				NO				230	16	6	A few times per month	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	10	A few times per year	8	Never	10	A few times per year	0	n/a	0	60	80	55	2	Lease	1	New		good idea this suvey - hope the info from cars in europe are welcome.
51	37		01/18/2013 04:11	2010	09/17/2009	2.0	Roadster	Porto Ronco		Switzerland			10/15/2009	km		56500	35114.978247358608	358	222.4984462399005594	283	175.8856432566811684	146.52	NO					NO				NO				230	24	10	A few times per year	2	Daily	1	Daily driver, year-round	4	A few times per week	6	A few times per month	12	Less than once per year	10	A few times per year	0	n/a	0	225	70	110	1	Own	1	New		
53	39		01/18/2013 14:35	2008	03/11/2009	1.5	Roadster	Yorba Linda	CA	United States	92886	Gary1M	07/02/2011	mi		18234	18234			186	186		NO					NO				NO				220	40	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	8	Never	8	Never	8	Never	0	n/a	0	75	90	65	1	Own	2	Used		
54	40		01/18/2013 15:57	2008	10/15/2008	1.5	Roadster	FRESNO	CA	United States	93730		07/30/2010	mi		22900	22900			178	178		NO					NO				NO				240	48	12	Less than once per year	4	A few times per week	1	Daily driver, year-round	2	Daily	12	Less than once per year	8	Never	8	Never	0	n/a	0	15	5	70	1	Own	2	Used		
55	41		01/19/2013 00:04	2008	01/01/2009	1.5	Roadster	Los Altos	CA	United States	94022	TDT	02/20/2009	mi		14400	14400	220	220	181	181	152.57	NO					NO				NO				240	70	11	About once per year	3	Most days of the week	1	Daily driver, year-round	4	A few times per week	12	Less than once per year	8	Never	8	Never	0	n/a	0	5	50	80	1	Own	1	New		
56	41		01/19/2013 01:22	2008	01/01/2009	1.5	Roadster	Los Altos	CA	United States	94022	TDT	02/20/2009	mi		14400	14400	230	230	181	181	152.57	NO					NO				NO				240	70	11	About once per year	3	Most days of the week	1	Daily driver, year-round	4	A few times per week	12	Less than once per year	8	Never	8	Never	0	n/a	0	5	50	80	1	Own	1	New		
57	42		01/20/2013 09:49	2011	01/01/2011	2.5	Roadster	Hong Kong		China		Tetsuos	03/01/2011	km		30301	18832.193909260410			272	169.0490988191423244		NO					NO				NO				220	13	11	About once per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	10	A few times per year	10	A few times per year	0	n/a	0	50	50	90	1	Own	1	New		
58	43		01/20/2013 11:16	2011	02/02/2011	2.5	Roadster	Zurich		Switzerland			03/24/2011	km		30095	18704.164077066501			303	188.3157240522063393		NO					NO				YES	1	11/12/2012	28100	220	32	10	A few times per year	5	Weekly	1	Daily driver, year-round	2	Daily	10	A few times per year	11	About once per year	10	A few times per year	0	n/a	0	35	25	120	2	Lease	1	New		
59	44		01/20/2013 11:36	2010	11/18/2009	2.0	Roadster Sport	San Antonio	TX	United States	78212		03/01/2010	mi	5450	5950	5950			175	175		NO					NO				NO				220	40	8	Never	5	Weekly	3	Occasional	3	Most days of the week	8	Never	8	Never	8	Never	0	n/a	0	10	5	75	1	Own	2	Used		
61	45		01/20/2013 13:54	2010	08/17/2009	2.0	Roadster	Issaquah	WA	United States	98027		08/29/2009	mi		51444	51444	228	228	180	180	150.12	YES	1	11	04/01/2011	24000	YES	1	10/01/2009	3000	NO				240	40	9	Monthly	2	Daily	1	Daily driver, year-round	2	Daily	10	A few times per year	8	Never	8	Never	0	n/a	0	45	60	70	1	Own	1	New		Tesla replaced my battery at the 24K service, though I didn't realize it had a problem.  They installed a battery with about 8K on it, so my battery mileage is ~14K less than my odometer.  The PEM failure was an infant mortality thing, and they drove out to my office and replaced the PEM on site, so it was running within hours.  I guessed the date and mileage for both the PEM and battery replacemenmt (though the battery mileage is pretty close, since it was at the 24K service).
62	24		01/20/2013 17:26	2011	02/09/2011	2.5	Roadster	Arnold	CA	United States	95223		03/10/2011	mi		7054	7054	234	234	183	183		NO					NO				NO				240	70	10	A few times per year	10	A few times per year	3	Occasional	10	A few times per year	12	Less than once per year	8	Never	8	Never	0	n/a	0	80	80	70	2	Lease	1	New		Updated &quot;ideal miles&quot; values: 183 standard mode, 234 rand mode.
63	46		01/20/2013 17:37	2010	06/29/2009	2.0	Roadster	San Diego	CA	United States	92117	ggr	07/20/2009	mi		26324	26324	219	219	173	173		NO					YES	1	01/30/2010	3000	NO				240	32	10	A few times per year	4	A few times per week	1	Daily driver, year-round	4	A few times per week	10	A few times per year	8	Never	10	A few times per year	0	n/a	1	25	60	80	1	Own	1	New		
64	47	void	01/20/2013 20:34	2010	08/19/2010	2.5	Roadster Sport	Medicine Hat	AB	Canada			10/05/2010	km		3925	2439.4033561218147918	275	170.9136109384711001	225	139.8384089496581728		NO					NO				NO				220	40	11	About once per year	4	A few times per week	4	Rarely used	10	A few times per year	11	About once per year	10	A few times per year	8	Never	0	n/a	0	25	80	100	1	Own	1	New		
65	47	void	01/20/2013 20:40	2010	08/19/2010	2.5	Roadster Sport	Medicine Hat	AB	Canada			10/05/2010	km		3925	2439.4033561218147918	345	214.4188937228091983	295	183.3436917339962710		NO					NO				NO				220	40	11	About once per year	4	A few times per week	4	Rarely used	10	A few times per year	11	About once per year	10	A few times per year	8	Never	0	n/a	0	25	80	100	1	Own	1	New		
66	48		01/21/2013 12:17	2011	10/04/2011	2.5	Roadster	Meilen		Switzerland		silverarrow	12/23/2011	km		15570	9676.8178993163455562			192	119.3287756370416408	159.61	NO					NO				NO				220	10	11	About once per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	31	30	110	1	Own	1	New		
67	49		01/21/2013 12:45	2010	11/03/2010	2.5	Roadster	Meilen		Switzerland		karin714417	12/16/2010	km		22674	14091.982597886886			175	108.7632069608452455	146.64	NO					NO				YES	1		5000	220	16	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	18	25	68	1	Own	1	New		
68	48		01/21/2013 12:57	2011	10/04/2011	2.5	Roadster	Meilen		Switzerland		silverarrow	12/23/2011	km		15570	9676.8178993163455562			310	192.6662523306401492	159.61	NO					NO				NO				220	10	11	About once per year	2	Daily	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	31	30	110	1	Own	1	New		
69	49		01/21/2013 12:59	2010	11/03/2010	2.5	Roadster	Meilen		Switzerland		karin714417	12/16/2010	km		22674	14091.982597886886			282	175.2641392169049099	146.64	NO					NO				YES	1		5000	220	16	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	2	Daily	8	Never	8	Never	8	Never	0	n/a	0	18	25	68	1	Own	1	New		
70	50		01/21/2013 13:58	2008	03/05/2009	1.5	Roadster	Greensboro	NC	United States	27410		04/10/2009	mi		16567	16567			177	177		NO					NO				NO				240	30	10	A few times per year	2	Daily	1	Daily driver, year-round	4	A few times per week	11	About once per year	8	Never	8	Never	0	n/a	0	40	50	70	1	Own	1	New		
71	12		01/21/2013 17:57	2008	04/01/2009	1.5	Roadster	Santa Cruz	CA	United States	95060	wiztecy	04/15/2012	mi	3800	14200	14200	232	232	182	182	148.81	NO					NO				NO				238	30	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	3	Most days of the week	10	A few times per year	8	Never	8	Never	0	n/a	0	70	80	65	1	Own	2	Used		Sheet 4 has the lowest Amp-Hour capacity of all the sheets.  Appears the majority of the bricks in sheet 4 are under 149 Ah where the rest of the pack's sheets and bricks are 153-155.  BMB board on sheet 4 was swapped out in 11/2012 as a precaution.
72	9		01/21/2013 18:16	2010	03/15/2010	2.0	Roadster	Ottawa	ON	Canada		Doug_G	07/01/2010	km	42	32000	19888.129272840273	370	229.9564947172156619	285	177.1286513362336855		NO					NO				NO				240	40	10	A few times per year	2	Daily	2	Daily driver, except in winter	2	Daily	12	Less than once per year	8	Never	12	Less than once per year	0	n/a	0	35	20	110	1	Own	1	New		
73	51		01/21/2013 20:27	2010	10/21/2010	2.5	Roadster	Mercer Island	WA	United States	98040		11/27/2010	mi	32	10576	10576			189	189		NO					NO				NO				240	50	8	Never	2	Daily	3	Occasional	4	A few times per week	8	Never	8	Never	8	Never	0	n/a	0	25	80	70	1	Own	1	New		
74	52		01/21/2013 21:32	2008	04/01/2009	1.5	Roadster	Saratoga	CA	United States	95070	andybm3	04/29/2009	mi	60	25700	25700			174	174		YES	1	2	02/27/2012	22000	NO				NO				240	40	10	A few times per year	4	A few times per week	2	Daily driver, except in winter	4	A few times per week	11	About once per year	8	Never	12	Less than once per year	0	n/a	0	40	35	70	1	Own	1	New		
75	33		01/21/2013 23:15	2011	12/13/2010	2.5	Roadster	Santa Barbara	CA	United States	93109	Timothy	05/01/2011	mi	100	13683	13683	220	220	175	175	147	NO					NO				NO				240	40	10	A few times per year	3	Most days of the week	1	Daily driver, year-round	2	Daily	10	A few times per year	10	A few times per year	8	Never	0	n/a	0	10	30	65	1	Own	1	New		
76	28		01/21/2013 23:19	2010	12/03/2009	2.0	Roadster Sport	Berkeley	CA	United States	94708	augkuo	05/01/2011	mi	500	34160	34160	232	232	180	180		NO					NO				NO				200	30	6	A few times per month	2	Daily	1	Daily driver, year-round	3	Most days of the week	6	A few times per month	8	Never	8	Never	0	n/a	0	130	90	65	1	Own	2	Used		
77	28		01/21/2013 23:23	2010	12/03/2009	2.0	Roadster Sport	Berkeley	CA	United States	94708	augkuo	05/01/2011	mi	500	34160	34160	232	232	180	180	150.51	NO					NO				NO				200	30	6	A few times per month	2	Daily	1	Daily driver, year-round	3	Most days of the week	6	A few times per month	8	Never	8	Never	0	n/a	0	130	90	65	1	Own	2	Used		
78	53		01/22/2013 03:52	2010	07/16/2009	2.0	Roadster	Oakland	CA	United States	94618	Bradleybang	07/28/2009	mi	30	19853	19853			177	177		NO					NO				NO				20	40	10	A few times per year	2	Daily	1	Daily driver, year-round	2	Daily	11	About once per year	8	Never	12	Less than once per year	0	n/a	0	15	20	65	1	Own	1	New		
79	54		01/22/2013 11:21	2010	09/07/2009	2.0	Roadster Sport	Satellite Beach	FL	United States	329373844	jordanthompson	05/01/2012	mi	7576	13351	13351			182	182		NO					YES	1	07/01/2012	11000	NO				220	15	11	About once per year	2	Daily	1	Daily driver, year-round	3	Most days of the week	12	Less than once per year	8	Never	8	Never	0	n/a	0	40	50	70	1	Own	2	Used		My PEM was replaced because it would not support the blower motor upgrade - there was no issue with the previous one.  I don't have the exact date and mileage this was replaced (but if you really need it, I am sure I could get it from Tesla.)
